ticket_id,description,category,priority
T001066,Application database connection string incorrect after migration,Application,Medium
T008828,Backup encryption key inaccessible,Backup,Critical
T006459,"Issue causing release, Git, GitLab error",DevOps,Medium
T006496,"Issue showing configuration, GitHub, Terraform error",DevOps,Medium
T007163,Workstation storage device not recognized,Hardware,Critical
T006712,"Issue causing build, configuration, deployment, container error",DevOps,High
T006443,Terraform state lock stuck preventing deployments,DevOps,Medium
T009653,"Issue showing integration, compatibility, update, subscription error",Vendor,High
T005107,LUN mapping error preventing server access,Storage,High
T008342,Meeting invitations not being delivered,Email,High
T001691,"Issue throwing buffer, lock, fragmentation error",Database,Critical
T002036,"Issue cannot backup, buffer, tablespace error",Database,Medium
T001799,Database query timeout on reporting tables,Database,Medium
T004594,"Issue throwing cluster, VMware, hypervisor error",Virtualization,Critical
T008540,"Issue throwing collaboration, calendar, Slack error",Email,Critical
T005452,"Issue causing snapshot, tiering, quota, NAS error",Storage,Critical
T009031,RPO exceeded for critical systems,Backup,Critical
T007902,"Issue unable to quota, Exchange error",Email,High
T003152,"Issue throwing SSH, core dump error",Unix,Medium
T002685,Docker networking DNS not resolving container names,Cloud,Critical
T006125,"Issue causing trace, CPU error",Monitoring,Medium
T009989,API schema change breaking existing code,Vendor,High
T001581,Database transaction log full preventing writes,Database,Critical
T008528,"Issue causing SMTP, archive error",Email,Critical
T008861,"Issue showing disaster recovery, incremental, RPO error",Backup,High
T007650,Workstation disk drive making unusual noise,Hardware,Critical
T001994,MySQL binlog position misalignment in replication,Database,Medium
T006944,"Issue causing release, Docker, Git error",DevOps,High
T003702,Possible malware infection detected on workstation,Security,Critical
T007450,Server BIOS update preventing system boot,Hardware,High
T007354,Desktop monitor displaying color distortion,Hardware,High
T006308,Distributed trace context not propagating correctly,Monitoring,High
T005749,"Issue causing incident, Prometheus, disk, ELK error",Monitoring,Critical
T004707,vMotion migration failing due to CPU incompatibility,Virtualization,High
T001356,API rate limiting throttling legitimate requests,Application,High
T003379,Shell script returning permission denied on NFS mount,Unix,Medium
T002097,MySQL binlog position misalignment in replication,Database,Critical
T002237,"Issue unable to TLS, AWS, VPC, S3 error",Cloud,Medium
T006054,"Issue unable to incident, network error",Monitoring,High
T008716,Backup data integrity check failed,Backup,Critical
T002244,"Issue experiencing certificate, image, deployment error",Cloud,High
T000332,Network bandwidth utilization 85% sustained,Network,Medium
T007488,Printer unable to communicate with print server,Hardware,High
T008023,Email forwarding rule not executing,Email,Critical
T003559,"Issue experiencing process, module, shell, ulimit error",Unix,High
T005618,Storage controller cache battery low warning,Storage,High
T002755,CloudFront distribution returning 403 errors,Cloud,Medium
T009141,Incremental backup verification failing,Backup,Medium
T000884,"Issue experiencing API, user error",Application,Critical
T001184,Web server worker processes constantly crashing,Application,High
T006503,"Issue cannot container, pipeline, version control error",DevOps,High
T007406,Network card hardware malfunction,Hardware,High
T000734,Application metric collection delayed by 5 minutes,Application,Critical
T008267,"Issue cannot meeting, recovery error",Email,High
T006661,Git webhook not triggering pipeline on commit,DevOps,Low
T001681,Database cursor limit reached on connection pool,Database,Critical
T008723,Backup validation showing data corruption,Backup,Critical
T005609,NAS replication lag exceeding configured threshold,Storage,High
T000121,Network latency between datacenters exceeding 500ms,Network,Medium
T002800,AWS RDS backup failing with insufficient storage,Cloud,High
T007835,Workstation disk drive making unusual noise,Hardware,High
T008317,"Issue throwing recovery, Gmail, archive, SMTP error",Email,Medium
T009408,"Issue throwing EOL, renewal error",Vendor,High
T005061,"Issue experiencing storage pool, NAS, iSCSI error",Storage,Critical
T009451,API schema change breaking existing code,Vendor,Medium
T001262,Application crash after memory usage spike,Application,High
T007362,Server cooling fan at maximum RPM,Hardware,High
T008736,Backup storage approaching capacity limit,Backup,High
T009584,License key validation error,Vendor,High
T003574,Nginx master process hanging periodically,Unix,Medium
T009704,Third-party service returning 500 error,Vendor,High
T006625,GitLab CI/CD pipeline failing at deploy stage,DevOps,High
T002801,AWS RDS backup failing with insufficient storage,Cloud,Critical
T004151,Two-factor authentication system experiencing outage,Security,High
T003285,Permission denied when accessing /opt/application directory,Unix,High
T000719,Application database connection string incorrect after migration,Application,High
T008258,Outlook performance degrading with large mailbox,Email,High
T008059,"Issue unable to archive, SMTP, authentication error",Email,High
T001224,Java application OutOfMemory error in production,Application,High
T003051,Permission denied when accessing /opt/application directory,Unix,High
T007115,"Issue causing CI/CD, orchestration, artifact, version control error",DevOps,High
T002169,Load balancer not distributing traffic evenly,Cloud,High
T007013,Pipeline notification system offline,DevOps,High
T000221,"Issue showing throughput, IP address, bandwidth, VLAN error",Network,High
T007846,Hardware diagnostic test indicating failure,Hardware,High
T001701,Database deadlock occurring in transaction,Database,Critical
T006701,"Issue causing Terraform, container error",DevOps,High
T007665,Server cooling fan at maximum RPM,Hardware,High
T004638,Virtual machine network adapter showing errors,Virtualization,Medium
T001071,Application struggling with concurrent requests,Application,Medium
T002185,Docker container failing to start with OOM error,Cloud,High
T003337,Permission denied when accessing /opt/application directory,Unix,Critical
T005675,Backup storage destination full,Storage,High
T003523,Permission denied when accessing /opt/application directory,Unix,Medium
T006533,Pipeline notification system offline,DevOps,High
T002560,CloudFront distribution returning 403 errors,Cloud,High
T000393,RDP connection timeout to database server,Network,Medium
T008184,Distribution list membership not updating,Email,Critical
T003557,Shell script returning permission denied on NFS mount,Unix,Medium
T005842,"Issue unable to log, network, metric, ELK error",Monitoring,Medium
T007373,Expansion card detection failure,Hardware,Medium
T006448,Deployment rollback failed leaving system in inconsistent state,DevOps,Medium
T005213,"Issue unable to snapshot, archival error",Storage,High
T004654,Virtual machine network adapter showing errors,Virtualization,Medium
T004543,Virtual machine cloning operation timing out,Virtualization,Critical
T007196,Network card hardware malfunction,Hardware,Medium
T006908,Automated testing timeout during deployment,DevOps,High
T001998,"Issue throwing MongoDB, bloat error",Database,Medium
T000261,User cannot authenticate to WiFi portal,Network,Critical
T002529,Certificate authority certificate renewal pending,Cloud,Medium
T008598,Recovery time objective not being met,Backup,Critical
T009423,License key validation error,Vendor,High
T005308,"Issue showing controller, retention, snapshot, S3 error",Storage,High
T002296,IAM policy denying access to CloudWatch logs,Cloud,Critical
T003602,Zero-day vulnerability detected in production environment,Security,High
T004041,Data exfiltration attempt detected and blocked,Security,High
T003264,Shell script returning permission denied on NFS mount,Unix,High
T003360,Permission denied when accessing /opt/application directory,Unix,Medium
T005691,LUN mapping error preventing server access,Storage,High
T003707,Unauthorized access attempt detected in audit logs,Security,High
T005003,"Issue showing SAN, controller error",Storage,High
T005981,APM agent memory leak causing high overhead,Monitoring,High
T003449,"Issue showing core dump, mount, NFS, permission error",Unix,High
T009721,Vendor notification system not alerting properly,Vendor,Medium
T001787,Database connection from application pool rejected,Database,Critical
T009936,Support ticket escalation not proceeding,Vendor,High
T009073,Selective restore functionality broken,Backup,Critical
T008394,Email recovery from deleted items failing,Email,Medium
T004787,ESXi host showing CPU throttling during peak usage,Virtualization,High
T004679,VM automatic startup failing after host reboot,Virtualization,High
T000656,Network bandwidth utilization 85% sustained,Network,Medium
T009264,Backup retention policy not deleting old backups,Backup,Critical
T001204,"Issue showing performance, user error",Application,Medium
T008361,"Issue throwing delivery, IMAP, archive error",Email,Low
T009092,Backup job not completing within scheduled window,Backup,High
T005395,Snapshot retention policy preventing cleanup,Storage,Critical
T002219,"Issue unable to S3, container, Lambda, quota error",Cloud,High
T007285,Server CPU showing temperature warning,Hardware,High
T001050,Application experiencing token expiration issues,Application,High
T008148,"Issue unable to spam, synchronization, quota error",Email,Critical
T005799,Grafana dashboard queries timing out,Monitoring,High
T004519,Virtual machine network adapter showing errors,Virtualization,High
T009532,Third-party service returning 500 error,Vendor,High
T003263,Backup process failing with permission errors,Unix,High
T009053,Incremental backup chain broken,Backup,High
T004565,VM console access restricted due to certificate issue,Virtualization,High
T005905,"Issue causing trace, latency error",Monitoring,Medium
T004413,"Issue throwing template, resource pool, vCenter error",Virtualization,Critical
T000158,Network broadcast storm detected on VLAN,Network,High
T008879,Backup data integrity check failed,Backup,High
T003485,SELinux policy blocking application access,Unix,Critical
T002639,VPN gateway certificate expiring in 7 days,Cloud,High
T002803,Kubernetes node not joining cluster,Cloud,High
T004455,"Issue experiencing VM, HA, datastore, migration error",Virtualization,Critical
T009699,Third-party service returning 500 error,Vendor,High
T003426,SSH key authentication not working for automation,Unix,High
T004737,vMotion migration failing due to CPU incompatibility,Virtualization,Medium
T002171,"Issue causing certificate, Docker, load balancer error",Cloud,High
T009119,Disaster recovery runbook outdated,Backup,High
T001858,"Issue unable to replication, bloat, cache, storage error",Database,High
T001558,MySQL binlog position misalignment in replication,Database,High
T003343,SSH service not responding on port 22,Unix,Critical
T000436,"Issue throwing WAN, jitter, network interface error",Network,Critical
T001099,Application experiencing token expiration issues,Application,High
T002398,"Issue throwing Kubernetes, Lambda, deployment, TLS error",Cloud,Medium
T006583,Deployment validation script exiting prematurely,DevOps,High
T001263,Application unable to reach database server,Application,Medium
T009538,"Issue showing third-party, EOL, update, integration error",Vendor,High
T006003,"Issue showing network, uptime, memory, Grafana error",Monitoring,High
T002053,"Issue unable to backup, fragmentation, PostgreSQL, buffer error",Database,High
T007723,USB port not providing power to devices,Hardware,Critical
T003978,Suspicious process detected running with elevated privileges,Security,High
T003376,Log rotation script failing to compress archives,Unix,Medium
T006779,Canary deployment metrics collection missing,DevOps,High
T008792,Full backup unable to complete due to network timeout,Backup,High
T005633,Storage controller cache battery low warning,Storage,High
T008368,Outlook performance degrading with large mailbox,Email,Medium
T000419,"Issue cannot link down, BGP, route, network interface error",Network,Critical
T002954,"Issue throwing kernel, service, process, mount error",Unix,Critical
T003214,"Issue throwing process, mount error",Unix,High
T001983,Database connection from application pool rejected,Database,High
T002888,Backup process failing with permission errors,Unix,Medium
T005731,"Issue showing latency, threshold error",Monitoring,High
T006548,Automated rollback not executing on failure,DevOps,High
T009038,Restore operation timeout preventing data recovery,Backup,High
T005922,Log parser unable to process new event format,Monitoring,High
T008235,Shared mailbox access permission not working,Email,High
T000205,Network bandwidth utilization 85% sustained,Network,High
T001517,Database table locked preventing schema changes,Database,High
T003815,"Issue showing vulnerability, update error",Security,High
T009939,Vendor feature deprecation breaking integration,Vendor,High
T007273,Printer toner cartridge incorrectly detected,Hardware,Medium
T005226,"Issue experiencing LUN, storage pool, tiering, iSCSI error",Storage,High
T006549,"Issue cannot artifact, Docker, IaC error",DevOps,Low
T005080,SAN storage capacity at 92% utilization,Storage,Medium
T007579,Server cooling fan at maximum RPM,Hardware,Critical
T006520,Kubernetes ConfigMap not updating deployed pods,DevOps,High
T007477,"Issue causing fan, laptop, printer, disk error",Hardware,High
T002416,"Issue experiencing quota, cluster, S3 error",Cloud,High
T007125,Canary deployment metrics collection missing,DevOps,Medium
T003982,VPN access being blocked by security policy,Security,Critical
T008034,Email delivery failing for external recipients,Email,Critical
T002907,Permission denied when accessing /opt/application directory,Unix,High
T008615,"Issue experiencing tape, archival error",Backup,Medium
T004458,"Issue experiencing virtual machine, host error",Virtualization,High
T007554,"Issue showing replacement, warranty, inventory error",Hardware,Medium
T004956,"Issue causing cluster, ESXi, hypervisor error",Virtualization,Critical
T006395,"Issue causing ELK, dashboard error",Monitoring,Critical
T004772,Virtual machine unable to start after host failure,Virtualization,Critical
T006700,Kubernetes deployment unable to pull image,DevOps,High
T003591,Compliance audit findings requiring immediate remediation,Security,High
T005232,Disk encryption key rotation incomplete,Storage,High
T001435,MongoDB oplog size insufficient for replication,Database,Critical
T002379,Container registry connection timeout during deployment,Cloud,High
T002489,Terraform applying infrastructure changes failing,Cloud,High
T008687,"Issue throwing replication, tape, archival, retention error",Backup,High
T008745,Backup validation showing data corruption,Backup,High
T002334,Cloud storage bucket versioning causing quota exceeded,Cloud,Critical
T000293,Network broadcast storm detected on VLAN,Network,Medium
T004586,Virtual machine cloning operation timing out,Virtualization,Medium
T003127,File descriptor limit reached on web server,Unix,Medium
T006620,Terraform state lock stuck preventing deployments,DevOps,High
T009020,Backup deduplication ratio declining unexpectedly,Backup,High
T004775,VM snapshot consuming excessive storage space,Virtualization,High
T002085,Database query timeout on reporting tables,Database,Critical
T005073,Storage snapshot deletion failing due to dependencies,Storage,Low
T000303,BGP route flapping causing intermittent connectivity,Network,Medium
T002931,"Issue unable to script, process, fsck error",Unix,Medium
T002766,Kubernetes node not joining cluster,Cloud,High
T006852,Build artifact size exceeding storage quota,DevOps,High
T008881,Backup data integrity check failed,Backup,High
T005961,Monitoring agent unable to connect to central server,Monitoring,High
T002548,"Issue showing SSL, VPC, auto scaling error",Cloud,High
T000407,Network broadcast storm detected on VLAN,Network,Medium
T000669,Network interface showing high packet loss,Network,High
T002141,Database cursor limit reached on connection pool,Database,High
T000695,"Issue throwing router, connectivity error",Network,High
T006039,Monitoring agent unable to connect to central server,Monitoring,High
T002187,IAM policy denying access to CloudWatch logs,Cloud,High
T009921,Vendor platform maintenance window extending beyond expected time,Vendor,Critical
T009792,"Issue experiencing EOL, compatibility, license error",Vendor,Medium
T005058,Volume expansion unable to complete,Storage,High
T007005,Version control merge conflict preventing release,DevOps,High
T007537,Printer print quality degraded,Hardware,High
T006595,"Issue causing version control, Git, GitHub error",DevOps,High
T009490,Vendor notification system not alerting properly,Vendor,Medium
T002307,"Issue unable to auto scaling, S3, Docker error",Cloud,Critical
T000024,Network broadcast storm detected on VLAN,Network,High
T005347,"Issue throwing controller, compression error",Storage,Critical
T008482,Email encryption certificate expired,Email,Medium
T005787,"Issue showing Prometheus, alert, dashboard, network error",Monitoring,Medium
T008156,"Issue experiencing SMTP, Slack, calendar error",Email,Medium
T004248,Insider threat alert triggered for suspicious file access,Security,Medium
T005320,"Issue causing deduplication, disk error",Storage,High
T002316,Container registry connection timeout during deployment,Cloud,High
T009873,"Issue cannot support ticket, compatibility error",Vendor,High
T009316,"Issue showing API, escalation, integration, license error",Vendor,Critical
T009759,API token refresh failing unexpectedly,Vendor,Low
T006571,Canary deployment metrics collection missing,DevOps,High
T004202,"Issue cannot threat, anomaly error",Security,High
T005289,iSCSI connection timeout to storage array,Storage,Medium
T009491,API token refresh failing unexpectedly,Vendor,Medium
T009129,Backup data integrity check failed,Backup,Critical
T005806,Metric cardinality explosion from new service,Monitoring,Medium
T007190,"Issue unable to firmware, printer, fan, CPU error",Hardware,High
T005364,"Issue cannot snapshot, retention error",Storage,High
T000317,DNS resolution slow for internal domains,Network,Critical
T009658,Vendor system unreachable during deployment,Vendor,High
T001016,Application request handling timeout in production,Application,High
T000862,Application unable to parse XML response,Application,High
T008066,Email forwarding rule not executing,Email,High
T002566,"Issue showing Docker, AWS error",Cloud,High
T009235,"Issue unable to restore, retention, incremental error",Backup,Critical
T007361,Desktop monitor displaying color distortion,Hardware,Critical
T007004,"Issue unable to Terraform, Git error",DevOps,Low
T005094,Replication network bandwidth insufficient,Storage,Medium
T002810,"Issue cannot EC2, Terraform, CloudFormation error",Cloud,Medium
T004084,"Issue causing firewall, breach error",Security,High
T000109,Network latency between datacenters exceeding 500ms,Network,High
T006833,Terraform state lock stuck preventing deployments,DevOps,High
T005754,Splunk index unusually large after ingestion spike,Monitoring,Medium
T007395,Laptop screen flickering intermittently,Hardware,High
T006343,Monitoring system out of sync with actual state,Monitoring,High
T005093,"Issue experiencing iSCSI, compression error",Storage,High
T005309,Storage array firmware update interrupted,Storage,Critical
T005130,SAN storage capacity at 92% utilization,Storage,Critical
T003411,"Issue cannot systemd, kernel, sudo, bash error",Unix,Medium
T002137,Database checkpoint not completing in time,Database,High
T006491,"Issue experiencing container, configuration, IaC error",DevOps,Critical
T000900,Application crash with segmentation fault,Application,Low
T001589,Database query timeout on reporting tables,Database,Critical
T004757,DRS unable to balance workloads across hosts,Virtualization,High
T009818,Third-party service returning 500 error,Vendor,Low
T008168,Email encryption certificate expired,Email,Critical
T003511,Permission denied when accessing /opt/application directory,Unix,Critical
T002723,"Issue unable to Kubernetes, CloudFront error",Cloud,Medium
T009957,"Issue cannot vendor support, API, SaaS error",Vendor,High
T009606,Vendor system data sync incomplete,Vendor,High
T000149,Cannot connect to VPN after office hours,Network,Medium
T005770,"Issue unable to ELK, latency error",Monitoring,High
T008357,Mailbox size exceeding quota preventing new mail,Email,Critical
T005666,Storage array controller showing failure,Storage,Critical
T000540,Network latency between datacenters exceeding 500ms,Network,Critical
T007429,Printer print quality degraded,Hardware,Low
T008907,"Issue cannot RPO, restore, RTO, verification error",Backup,Medium
T006159,SLA tracking calculation incorrect,Monitoring,High
T007689,Server BIOS update preventing system boot,Hardware,Medium
T006587,Artifact repository access denied for build job,DevOps,High
T004563,Virtual machine network adapter showing errors,Virtualization,High
T008603,Backup validation showing data corruption,Backup,High
T005995,Alert notification email not being delivered,Monitoring,Medium
T009904,Vendor feature deprecation breaking integration,Vendor,High
T005234,RAID array degraded after disk failure,Storage,High
T009544,End of life date approaching for vendor product,Vendor,Medium
T000085,Cannot connect to VPN after office hours,Network,Critical
T005406,Backup storage destination full,Storage,High
T005753,"Issue throwing anomaly, Splunk error",Monitoring,High
T002515,CloudFront distribution returning 403 errors,Cloud,Medium
T006699,"Issue showing pipeline, IaC, GitHub error",DevOps,High
T001160,Application crash with segmentation fault,Application,Critical
T007141,Blue-green deployment cutover not completing,DevOps,Low
T006524,Build artifact size exceeding storage quota,DevOps,Critical
T006318,Distributed trace context not propagating correctly,Monitoring,Medium
T008775,Backup server running out of resources,Backup,High
T008280,Email delivery failing for external recipients,Email,Critical
T002413,Terraform applying infrastructure changes failing,Cloud,Critical
T006946,Canary deployment metrics collection missing,DevOps,High
T007519,"Issue throwing printer, inventory error",Hardware,Critical
T007017,Container registry rate limit exceeded,DevOps,High
T006135,Log parser unable to process new event format,Monitoring,Medium
T002194,Certificate authority certificate renewal pending,Cloud,Critical
T007875,"Issue showing Outlook, meeting error",Email,Medium
T008452,Meeting room booking system not updating,Email,Medium
T006422,"Issue experiencing trace, ELK error",Monitoring,High
T001792,Database deadlock occurring in transaction,Database,High
T005293,Disk encryption key rotation incomplete,Storage,Critical
T005053,Storage controller cache battery low warning,Storage,High
T001116,Application performance degrades under load test,Application,Medium
T007446,"Issue unable to laptop, printer error",Hardware,High
T000686,"Issue showing VLAN, bandwidth error",Network,High
T001372,Application struggling with concurrent requests,Application,High
T007240,Workstation disk drive making unusual noise,Hardware,High
T000194,VPN tunnel down between offices,Network,High
T001946,Redis cache connection refused from web servers,Database,High
T000128,Network interface showing high packet loss,Network,High
T009616,Third-party connector configuration error,Vendor,High
T000073,Frequent disconnections on WiFi network,Network,Critical
T005986,Alerting system flooding with false positive alerts,Monitoring,Critical
T000016,VLAN trunk port down affecting multiple subnets,Network,High
T000297,Slow network performance in building A,Network,Medium
T000271,"Issue throwing switch, jitter error",Network,Low
T005918,Health check endpoint returning false negatives,Monitoring,High
T007398,"Issue throwing laptop, desktop, repair error",Hardware,High
T006900,Terraform state lock stuck preventing deployments,DevOps,Medium
T001102,Application error log filled with timeout exceptions,Application,Critical
T008734,Backup storage approaching capacity limit,Backup,High
T007565,Printer toner cartridge incorrectly detected,Hardware,High
T001128,Application experiencing token expiration issues,Application,Critical
T006272,"Issue throwing network, DataDog, Prometheus error",Monitoring,High
T004896,VMware vCenter connection timeout to ESXi host,Virtualization,Medium
T008599,Backup retention policy not deleting old backups,Backup,Critical
T006332,Alert notification email not being delivered,Monitoring,Medium
T001831,Database query plan inefficient after statistics update,Database,Medium
T000645,Cannot add new host to DNS zone,Network,Medium
T000431,Network interface bonding showing poor performance,Network,Medium
T008962,Backup validation showing data corruption,Backup,High
T004067,Insider threat alert triggered for suspicious file access,Security,High
T002467,"Issue causing VPC, quota, ECS, AWS error",Cloud,Medium
T000671,"Issue unable to interface, VPN, uplink error",Network,High
T000676,"Issue experiencing OSPF, gateway error",Network,Medium
T000289,BGP route flapping causing intermittent connectivity,Network,Critical
T006413,Grafana dashboard queries timing out,Monitoring,High
T000738,Web server worker processes constantly crashing,Application,Medium
T004655,VM disk I/O saturation during backup window,Virtualization,High
T001656,"Issue throwing backup, connection error",Database,High
